t_sec,security,action,trader,price,qty
183,1,Bid,T-011,25.5,5
184,1,Bid,T-019,28,10
184,1,Ask,T-031,30,10
185,1,Bid,T-030,25,4
186,1,Ask,T-030,25,4
186,1,Bid,T-003,26,1
186,1,ClearBid,T-004,0,0
187,1,Bid,T-006,25.1,1
187,1,ClearAsk,T-004,0,0
188,1,ClearBid,T-004,0,0
188,1,Bid,T-019,26,10
188,1,Bid,T-006,25.1,1
189,1,Bid,T-012,27,10
190,1,Bid,T-006,25.1,1
190,1,ClearBid,T-012,0,0
191,1,Bid,T-006,25.1,1
191,1,Ask,T-012,27,10
192,1,Bid,T-006,25.1,1
195,1,Bid,T-006,25.1,1
195,1,Bid,T-006,25.1,1
196,1,Bid,T-005,26,5
196,1,Ask,T-002,28,25
197,1,Bid,T-006,25.1,1
198,1,Ask,T-029,20,10
198,1,Bid,T-011,25,5
198,1,Bid,T-024,1,5
199,1,Ask,T-036,29,10
200,1,Bid,T-026,25,3
200,1,Ask,T-023,27,10
201,1,Ask,T-034,28,10
201,1,Ask,T-019,30,30
201,1,Ask,T-004,29,10
202,1,Bid,T-036,27,10
204,1,Ask,T-033,27,5
204,1,ClearBid,T-022,0,0
204,1,ClearBid,T-022,0,0
205,1,Bid,T-030,10,4
205,1,ClearBid,T-022,0,0
205,1,ClearBid,T-022,0,0
205,1,Ask,T-037,28,15
205,1,Ask,T-010,28,15
205,1,ClearBid,T-022,0,0
205,1,ClearBid,T-022,0,0
205,1,ClearBid,T-022,0,0
206,1,Ask,T-011,26,5
206,1,ClearAsk,T-022,0,0
206,1,ClearAsk,T-022,0,0
207,1,ClearAsk,T-022,0,0
207,1,Ask,T-030,10,4
208,1,Ask,T-001,25,10
209,1,Bid,T-034,25,10
211,1,Bid,T-034,25,10
211,1,Bid,T-034,25,10
211,1,Bid,T-034,25,10
213,1,Ask,T-019,30,30
213,1,Bid,T-021,26,10
213,1,Ask,T-001,25,10
214,1,Bid,T-002,26,15
215,1,ClearBid,T-030,0,0
215,1,Bid,T-038,25,10
215,1,Bid,T-025,25,5
216,1,ClearBid,T-030,0,0
216,1,Ask,T-019,30,30
216,1,Bid,T-001,25,10
216,1,Bid,T-029,25,10
216,1,Ask,T-012,27,10
216,1,ClearAsk,T-030,0,0
217,1,ClearAsk,T-030,0,0
217,1,ClearAsk,T-030,0,0
217,1,ClearAsk,T-030,0,0
219,1,Ask,T-019,30,30
219,1,Ask,T-019,30,30
219,1,Ask,T-019,30,30
219,1,Ask,T-019,30,30
219,1,Bid,T-031,26,10
222,1,Ask,T-019,30,30
223,1,Bid,T-001,25,10
223,1,Ask,T-002,28,15
223,1,Bid,T-001,25,10
224,1,Ask,T-004,28,10
225,1,Bid,T-025,25,5
225,1,Bid,T-011,25,15
227,1,Bid,T-038,25,10
228,1,Bid,T-025,25,5
229,1,Ask,T-006,28,1
229,1,ClearAsk,T-032,0,0
229,1,ClearAsk,T-032,0,0
229,1,ClearAsk,T-032,0,0
229,1,Bid,T-035,26,10
230,1,Ask,T-006,28,1
230,1,Ask,T-006,28,1
230,1,Ask,T-006,28,1
230,1,Bid,T-021,26,10
231,1,Ask,T-006,28,1
231,1,Bid,T-001,25,10
231,1,Bid,T-001,25,10
231,1,Bid,T-001,25,10
232,1,Ask,T-019,26,10
233,1,Ask,T-006,28,1
233,1,Ask,T-012,27,10
235,1,Bid,T-025,25,5
236,1,ClearBid,T-026,0,0
236,1,ClearBid,T-011,0,0
238,1,Ask,T-001,35,10
238,1,Bid,T-026,25.5,3
239,1,Ask,T-001,35,10
239,1,Bid,T-037,25.2,5
239,1,Bid,T-011,25,15
241,1,Ask,T-030,27,20
241,1,Ask,T-006,28,5
242,1,Ask,T-006,28,5
242,1,Bid,T-029,26,10
244,1,Bid,T-030,27,20
244,1,Ask,T-006,28,5
244,1,Bid,T-033,26,10
245,1,Ask,T-019,27,10
245,1,Bid,T-036,26,10
245,1,Ask,T-019,27,10
245,1,Ask,T-006,28,5
246,1,Ask,T-010,30,20
246,1,Bid,T-031,25,10
246,1,Ask,T-019,27,10
246,1,Ask,T-025,28,5
246,1,Ask,T-019,27,10
246,1,Ask,T-020,5,1
246,1,Ask,T-019,27,10
247,1,Ask,T-006,28,5
248,1,Bid,T-038,25,10
249,1,Ask,T-006,28,5
251,1,Ask,T-006,28,5
252,1,Bid,T-022,27,10
252,1,Ask,T-001,35,10
253,1,Bid,T-031,26,10
254,1,Bid,T-021,26,10
254,1,Bid,T-037,26,5
255,1,Bid,T-008,27,10
256,1,Ask,T-012,27,10
258,1,Ask,T-036,26,10
259,1,ClearBid,T-011,0,0
259,1,Ask,T-005,29,5
261,1,Bid,T-038,25,3
262,1,Bid,T-023,24,10
262,1,Bid,T-024,20,5
262,1,Bid,T-008,27,10
262,1,Ask,T-031,29,10
262,1,Bid,T-037,26,5
263,1,Ask,T-020,60,10
264,1,ClearBid,T-010,0,0
264,1,ClearAsk,T-010,0,0
265,1,Bid,T-026,28,1
266,1,Bid,T-039,27,5
267,1,Ask,T-032,27.99,15
268,1,Ask,T-035,27,10
270,1,Ask,T-037,28,10
272,1,Ask,T-029,28,20
274,1,Ask,T-036,27,10
274,1,Bid,T-038,27,3
275,1,Bid,T-033,25,10
276,1,ClearBid,T-008,0,0
277,1,Ask,T-022,28,10
278,1,Bid,T-006,27,5
278,1,Ask,T-036,28,10
279,1,Bid,T-038,27,3
280,1,Bid,T-006,27,5
281,1,Bid,T-038,27,3
281,1,Bid,T-023,25,10
282,1,Bid,T-037,26,15
282,1,Bid,T-029,26,20
282,1,Ask,T-001,29,30
283,1,Bid,T-012,27,20
283,1,Bid,T-005,27,10
284,1,Bid,T-007,24,20
284,1,Bid,T-036,27,10
284,1,Bid,T-006,27,5
284,1,Bid,T-033,25,10
284,1,Bid,T-002,26,15
284,1,Bid,T-002,26,15
284,1,Ask,T-031,28,10
284,1,Bid,T-038,27,3
285,1,Bid,T-004,27,20
287,1,Ask,T-021,30,10
287,1,Bid,T-024,26.5,5
288,1,Bid,T-006,27,5
289,1,ClearAsk,T-031,0,0
289,1,ClearBid,T-031,0,0
290,1,ClearBid,T-005,0,0
291,1,Ask,T-021,29,10
292,1,Bid,T-024,27,5
292,1,Bid,T-029,27,25
293,1,Ask,T-037,29,15
294,1,Ask,T-039,28,10
294,1,Ask,T-040,20,5
294,1,Bid,T-024,27,5
295,1,Bid,T-002,26,15
297,1,Ask,T-012,29,15
297,1,Ask,T-019,30,5
297,1,Ask,T-019,30,5
297,1,Ask,T-019,30,5
298,1,Ask,T-019,30,5
298,1,Bid,T-023,27,5
298,1,Ask,T-019,30,5
298,1,Bid,T-006,27,5
298,1,Ask,T-019,30,5
298,1,Ask,T-019,30,5
298,1,Ask,T-019,30,5
298,1,Ask,T-019,30,5
299,1,Ask,T-019,30,5
299,1,Ask,T-019,30,5
299,1,Ask,T-019,30,5
299,1,Ask,T-019,30,5
300,1,Ask,T-019,30,5
300,1,Bid,T-013,27,10
301,1,Ask,T-019,30,5
301,1,Bid,T-011,27,10
303,1,Ask,T-029,29,50
304,1,Ask,T-026,27,10
304,1,ClearBid,T-002,0,0
304,1,Ask,T-022,28.5,6
305,1,Bid,T-002,26,15
305,1,Bid,T-034,27,10
306,1,Bid,T-036,27,10
306,1,Ask,T-004,29,20
307,1,Ask,T-030,26,80
308,1,Ask,T-029,29,50
308,1,Ask,T-031,29,10
308,1,Ask,T-006,30,5
308,1,Bid,T-033,27,10
309,1,Ask,T-006,30,5
310,1,ClearBid,T-001,0,0
310,1,ClearAsk,T-001,0,0
311,1,Ask,T-006,30,5
311,1,Bid,T-031,27,10
312,1,Ask,T-006,30,5
312,1,Ask,T-011,26,10
313,1,Ask,T-025,29,5
314,1,Ask,T-019,29,10
314,1,Bid,T-039,27,10
315,1,Bid,T-024,26.2,5
316,1,Bid,T-034,27,10
316,1,Ask,T-019,29,10
316,1,Ask,T-012,28,15
317,1,Ask,T-002,28,30
318,1,Ask,T-033,29,10
318,1,Bid,T-024,26.2,5
319,1,Ask,T-019,29,10
319,1,Ask,T-019,29,10
319,1,Ask,T-019,29,10
319,1,Ask,T-019,29,10
319,1,Ask,T-019,29,10
319,1,Ask,T-019,29,10
320,1,Bid,T-036,27,10
320,1,Ask,T-019,29,10
321,1,Ask,T-019,29,10
321,1,Ask,T-006,30,5
321,1,Ask,T-034,28,10
321,1,Ask,T-019,29,10
322,1,Ask,T-019,29,10
322,1,Ask,T-019,29,10
322,1,Bid,T-021,26,10
322,1,Ask,T-006,30,5
322,1,Ask,T-019,29,10
323,1,Ask,T-019,29,10
323,1,Ask,T-019,29,10
323,1,Ask,T-036,28,10
323,1,Ask,T-036,28,10
323,1,Ask,T-019,29,10
324,1,Ask,T-019,29,10
324,1,Ask,T-019,29,10
324,1,Bid,T-011,26,20
324,1,Ask,T-019,29,10
324,1,Ask,T-019,29,10
325,1,Bid,T-002,26,30
325,1,Bid,T-004,26,10
325,1,Ask,T-019,29,10
325,1,Ask,T-019,29,10
326,1,Ask,T-019,29,10
326,1,Ask,T-019,29,10
326,1,Ask,T-034,29,10
326,1,Ask,T-019,29,10
326,1,Ask,T-039,28,10
326,1,Ask,T-019,29,10
327,1,Bid,T-037,26,15
328,1,Ask,T-019,29,10
328,1,ClearAsk,T-020,0,0
328,1,Ask,T-019,29,10
328,1,Ask,T-019,29,10
328,1,Ask,T-019,29,10
328,1,Ask,T-019,29,10
329,1,Bid,T-036,26,10
329,1,Bid,T-005,25,10
330,1,Ask,T-008,29,20
330,1,Ask,T-031,28,10
331,1,Bid,T-013,27,10
332,1,ClearAsk,T-031,0,0
332,1,Ask,T-008,29,20
333,1,ClearAsk,T-031,0,0
333,1,Bid,T-003,25,4
334,1,Ask,T-019,28,10
334,1,Ask,T-033,29,10
335,1,Bid,T-035,25,30
335,1,Ask,T-037,29,20
335,1,Bid,T-027,25,5
336,1,Ask,T-001,30,12
337,1,Ask,T-011,28,35
337,1,ClearBid,T-029,0,0
337,1,Ask,T-031,28,10
338,1,ClearAsk,T-029,0,0
338,1,Bid,T-040,29,5
338,1,Bid,T-013,27,13
338,1,Bid,T-022,27,15
339,1,Bid,T-025,25,10
339,1,ClearAsk,T-031,0,0
339,1,ClearAsk,T-031,0,0
341,1,Bid,T-012,26.75,20
341,1,ClearAsk,T-034,0,0
341,1,Ask,T-019,30,5
342,1,ClearBid,T-034,0,0
342,1,Ask,T-024,28,5
342,1,Ask,T-001,29,12
342,1,Bid,T-036,27,10
343,1,Bid,T-007,27.1,20
343,1,Ask,T-019,30,5
344,1,ClearBid,T-034,0,0
344,1,ClearAsk,T-008,0,0
345,1,ClearAsk,T-034,0,0
345,1,Ask,T-036,28,10
345,1,Bid,T-006,27,5
346,1,Bid,T-026,25,5
346,1,Ask,T-008,29,20
346,1,Ask,T-019,30,5
347,1,Ask,T-029,28,30
347,1,Bid,T-021,26,10
347,1,Ask,T-019,30,5
348,1,Ask,T-019,30,5
348,1,Ask,T-019,30,5
348,1,Ask,T-019,30,5
348,1,ClearAsk,T-001,0,0
348,1,Ask,T-019,30,5
348,1,Ask,T-022,28,15
349,1,Bid,T-006,27,5
349,1,Ask,T-001,29,12
349,1,Bid,T-036,26,10
349,1,Ask,T-019,30,5
349,1,Ask,T-019,30,5
349,1,Ask,T-019,30,5
350,1,Ask,T-007,29,20
350,1,Ask,T-019,30,5
350,1,Ask,T-019,30,5
351,1,Ask,T-019,30,5
351,1,Bid,T-006,27,5
351,1,Ask,T-028,5,10
351,1,Ask,T-019,30,5
351,1,Ask,T-019,30,5
351,1,Ask,T-036,28,10
351,1,Ask,T-019,30,5
352,1,Bid,T-004,27,10
352,1,Bid,T-013,28,20
352,1,Ask,T-019,30,5
352,1,Ask,T-005,28,7
353,1,Ask,T-019,30,5
353,1,Ask,T-036,28,10
354,1,Ask,T-023,29,5
354,1,Bid,T-022,27,15
355,1,Ask,T-015,28,10
356,1,Ask,T-031,28,5
356,1,Bid,T-034,27,10
356,1,Ask,T-036,28,10
356,1,ClearAsk,T-031,0,0
357,1,ClearAsk,T-008,0,0
357,1,Bid,T-011,27,5
358,1,Ask,T-008,28.5,20
358,1,Bid,T-034,27,10
359,1,Bid,T-029,26,30
360,1,Ask,T-006,29,5
361,1,Ask,T-006,29,5
361,1,Bid,T-024,27,10
361,1,Ask,T-007,28.5,20
362,1,Bid,T-010,27.01,100
363,1,Ask,T-006,29,5
363,1,Ask,T-021,28,10
363,1,Bid,T-012,27,20
363,1,Bid,T-022,27,15
365,1,Bid,T-033,26,10
365,1,Ask,T-006,29,5
367,1,Ask,T-034,30,10
368,1,Bid,T-036,27,10
368,1,ClearBid,T-023,0,0
368,1,Ask,T-034,30,10
369,1,ClearAsk,T-023,0,0
369,1,Ask,T-031,28,19
369,1,Bid,T-036,27,10
369,1,Ask,T-022,28,15
369,1,Ask,T-022,28,15
369,1,ClearAsk,T-031,0,0
370,1,Ask,T-020,27,10
371,1,Bid,T-039,27,10
372,1,Ask,T-023,28,5
373,1,Ask,T-012,28,20
373,1,ClearBid,T-005,0,0
373,1,Ask,T-025,30,15
374,1,Ask,T-024,28.7,15
375,1,ClearBid,T-029,0,0
375,1,Ask,T-036,28,10
375,1,Ask,T-036,28,10
376,1,Ask,T-006,29,5
376,1,Ask,T-006,29,5
377,1,Bid,T-029,27,30
377,1,Ask,T-032,28.99,1
377,1,Bid,T-007,26.1,30
378,1,Bid,T-036,27,10
378,1,ClearBid,T-004,0,0
379,1,ClearAsk,T-004,0,0
380,1,ClearBid,T-004,0,0
380,1,Bid,T-022,27,15
380,1,Bid,T-036,27,10
381,1,ClearAsk,T-004,0,0
382,1,Ask,T-018,29,28
384,1,Bid,T-013,27,2
384,1,Bid,T-022,27,15
385,1,Bid,T-036,27,10
386,1,Bid,T-036,27,10
386,1,Bid,T-033,26,20
387,1,Ask,T-032,28.99,1
387,1,Ask,T-022,28,15
387,1,Ask,T-020,27,30
387,1,Ask,T-022,28,15
387,1,Bid,T-013,27,2
388,1,Ask,T-006,29,5
388,1,Bid,T-012,27,40
388,1,Bid,T-013,27,2
388,1,ClearAsk,T-018,0,0
389,1,Ask,T-036,28,10
389,1,Ask,T-036,28,10
389,1,Bid,T-004,26,10
389,1,Ask,T-036,28,10
389,1,Ask,T-036,28,10
389,1,ClearAsk,T-018,0,0
390,1,ClearBid,T-018,0,0
390,1,ClearBid,T-018,0,0
391,1,Ask,T-006,29,5
391,1,ClearAsk,T-018,0,0
391,1,ClearAsk,T-018,0,0
391,1,Ask,T-026,28,5
393,1,ClearBid,T-031,0,0
393,1,Bid,T-030,21,80
393,1,ClearAsk,T-031,0,0
394,1,Bid,T-029,26,30
394,1,Ask,T-039,28,10
394,1,ClearAsk,T-031,0,0
394,1,ClearBid,T-031,0,0
395,1,Bid,T-040,25,10
396,1,Bid,T-022,27,15
397,1,Bid,T-011,28,20
397,1,Bid,T-030,21,80
397,1,Ask,T-036,29,10
398,1,Ask,T-036,29,10
398,1,ClearAsk,T-037,0,0
398,1,Bid,T-022,27,15
400,1,Ask,T-013,28,20
402,1,Bid,T-006,26,5
402,1,Bid,T-036,27,10
402,1,Bid,T-028,2,10
402,1,Bid,T-036,27,10
403,1,Ask,T-037,28,20
404,1,Bid,T-006,26,5
404,1,Ask,T-012,29,15
405,1,Bid,T-030,20,80
407,1,Bid,T-039,27,10
407,1,Bid,T-015,28,20
407,1,ClearBid,T-002,0,0
407,1,Ask,T-022,28,15
407,1,Ask,T-022,28,15
409,1,Bid,T-005,27,20
409,1,Bid,T-002,27,30
410,1,Ask,T-031,28,10
410,1,Bid,T-006,26,5
410,1,Bid,T-023,26,10
410,1,Bid,T-006,26,5
411,1,Ask,T-011,20,27
411,1,Bid,T-036,27,10
411,1,Bid,T-036,27,10
412,1,Bid,T-037,27,20
413,1,Bid,T-013,28,20
413,1,Bid,T-013,28,20
413,1,Ask,T-031,28,10
415,1,Bid,T-036,27,10
415,1,Bid,T-006,26,5
416,1,Ask,T-002,29,30
416,1,Ask,T-036,27,10
416,1,Ask,T-039,28,10
416,1,Bid,T-022,27,15
417,1,Ask,T-012,29,15
418,1,Ask,T-010,28.99,100
418,1,Ask,T-015,27,20
419,1,Bid,T-006,26,5
419,1,Bid,T-033,27,20
420,1,Ask,T-037,28,20
420,1,Bid,T-022,27,15
420,1,ClearAsk,T-029,0,0
420,1,ClearBid,T-029,0,0
421,1,Ask,T-036,28,10
421,1,Bid,T-021,26,10
421,1,Ask,T-036,28,10
421,1,Ask,T-003,32,1
421,1,Bid,T-006,26,5
421,1,Ask,T-036,28,10
422,1,ClearAsk,T-020,0,0
422,1,ClearBid,T-020,0,0
422,1,Bid,T-023,27,10
422,1,Ask,T-015,27,20
423,1,Ask,T-022,28,15
423,1,Ask,T-022,28,15
423,1,Bid,T-030,20,70
424,1,Ask,T-036,29,10
424,1,Ask,T-034,27,10
425,1,Ask,T-013,28,20
425,1,Ask,T-013,28,20
425,1,Ask,T-013,28,20
425,1,ClearAsk,T-008,0,0
425,1,Bid,T-024,25.5,10
425,1,ClearBid,T-008,0,0
426,1,Ask,T-013,28,20
426,1,ClearAsk,T-037,0,0
426,1,Bid,T-019,26,70
426,1,Bid,T-019,26,70
426,1,Bid,T-019,26,70
426,1,ClearBid,T-028,0,0
427,1,ClearBid,T-037,0,0
427,1,Bid,T-019,26,70
427,1,Bid,T-019,26,70
427,1,Bid,T-019,26,70
427,1,Ask,T-008,28,30
427,1,Bid,T-019,26,70
428,1,ClearAsk,T-028,0,0
428,1,Bid,T-019,26,70
428,1,Ask,T-034,27,10
428,1,Bid,T-019,26,70
428,1,Ask,T-008,28,30
428,1,Bid,T-019,26,70
428,1,Ask,T-004,30,10
428,1,Bid,T-006,26,5
428,1,Bid,T-022,27,15
429,1,Bid,T-039,27,10
429,1,Bid,T-022,27,15
429,1,Bid,T-019,26,70
429,1,Bid,T-019,26,70
429,1,Bid,T-019,26,70
429,1,Bid,T-019,26,70
430,1,Ask,T-036,29,10
430,1,Bid,T-006,26,5
430,1,Ask,T-038,27,3
431,1,Bid,T-007,26.1,30
432,1,ClearBid,T-027,0,0
432,1,ClearAsk,T-008,0,0
432,1,Ask,T-036,29,10
432,1,Bid,T-019,27,70
432,1,Bid,T-019,27,70
432,1,Bid,T-019,27,70
432,1,ClearBid,T-027,0,0
432,1,Bid,T-019,27,70
433,1,ClearBid,T-027,0,0
433,1,Ask,T-029,29,30
433,1,Bid,T-019,27,70
433,1,Bid,T-019,27,70
433,1,ClearBid,T-027,0,0
433,1,ClearBid,T-027,0,0
434,1,Ask,T-005,29,30
435,1,Bid,T-006,26,5
435,1,Bid,T-019,26,70
435,1,Bid,T-037,27,10
435,1,Bid,T-019,26,70
436,1,Bid,T-019,26,70
436,1,Ask,T-003,60,1
436,1,ClearAsk,T-034,0,0
